STN_ID,LON_degee,LAT_degree,STN_SP,HT_m,AD_ID,STN_KO,STN_EN
1791,126.39330000,37.11330000,40000004,0.00,0,평택풍도,----
2787,126.61610000,37.38000000,40000003,0.00,0,인천송도,----
4777,126.30390000,36.97810000,40000006,0.00,0,대산,----
5776,126.58640000,35.97420000,40000005,0.00,0,군산,----
6785,126.30970000,34.75140000,40000007,0.00,0,목포,----
6786,127.75310000,34.75420000,40000008,0.00,0,여수ㆍ광양항,----
7799,129.37890000,36.05170000,40000011,0.00,0,포항,----
8751,129.08030000,35.07640000,40000001,0.00,0,부산항,----
8752,128.83420000,35.07440000,40000002,0.00,0,부산신항,----
8753,129.16030000,35.15920000,40000009,0.00,0,해운대,----
8754,129.38690000,35.50170000,40000010,0.00,0,울산,----
21229,131.11440000,37.45540000,34000000,0.00,143,울릉도,Ulleungdo
22101,126.01880000,37.23610000,24000000,0.00,112,덕적도,Deokjeokdo
22102,125.77690000,34.79330000,24000000,0.00,165,칠발도,Chilbaldo
22103,127.50140000,34.00140000,24000000,0.00,156,거문도,Geomundo
22104,128.90000000,34.76670000,24000000,0.00,159,거제도,Geojedo
22105,130.00000000,37.54420000,34000000,0.00,105,동해,Donghae
22106,129.78330000,36.35000000,34000000,0.00,143,포항,Pohang
22107,126.03330000,33.08330000,34000000,0.00,184,마라도,Marado
22108,125.75000000,36.25000000,24000000,0.00,133,외연도,Oeyeondo
22183,126.24166667,34.73333333,13000000,0.00,156,신안,Shinan
22184,126.14110000,33.79361000,24000000,0.00,184,추자도,Chujado
22185,125.42890000,37.09170000,24000000,0.00,112,인천,Incheon
22186,125.81390000,35.65860000,24000000,0.00,146,부안,Buan
22187,127.02280000,33.12810000,34000000,0.00,184,서귀포,Seogwipo
22188,128.22500000,34.39170000,24000000,0.00,159,통영,Tongyeong
22189,129.84140000,35.34530000,34000000,0.00,152,울산,Ulsan
22190,129.87440000,36.90690000,34000000,0.00,143,울진,Uljin
22191,124.05694000,36.13333000,44000000,0.00,133,서해170,KOB170
22192,123.26250000,34.00000000,44000000,0.00,156,서해206,KOB206
22193,124.01670000,37.50000000,44000000,0.00,112,서해143,KOB143
22297,125.21472200,34.02750000,24000000,0.00,156,가거도,Gageodo
22298,125.24555600,34.74666700,24000000,0.00,156,홍도,Hongdo
22299,124.13000000,35.00000000,44000000,0.00,156,서해190,KOB190
22300,124.73000000,32.83000000,44000000,0.00,184,남해239,KOB239
22301,126.40000000,31.66666700,44000000,0.00,184,남해465,KOB465
22302,130.51666700,36.96666700,44000000,0.00,143,동해78,KOB78
22303,126.41000000,37.15833000,24000000,0.00,109,풍도,Pungdo
22304,127.27222000,32.72222000,44000000,0.00,184,남해244,KOB244
22305,129.60000000,38.36666700,44000000,0.00,105,동해57,KOB57
22306,124.61667000,37.05000000,24000000,0.00,108,서해151,----
22306,129.10070000,35.08550000,10000000,0.00,0,해운대,HAEU
22307,125.60830000,36.75000000,24000000,0.00,133,서해163,KOB163
22308,125.15000000,35.28333000,24000000,0.00,108,서해192,----
22308,126.45520000,36.27970000,10000000,0.00,0,대천,DAEC
22309,128.37500000,33.77500000,44000000,0.00,159,남해111,KOB111
22309,126.40960000,33.23370000,10000000,0.00,0,중문,JMBE
22310,128.63916700,38.31722000,34000000,0.00,105,고성,Goseong
22310,128.93170000,37.80895000,10000000,0.00,0,경포대,GYEONGPO
22311,129.31805000,37.46389000,24000000,0.00,105,삼척,Samcheok
22311,129.21574000,35.16200060,10000000,0.00,0,송정,SJBE
22312,128.65055600,38.12250000,10000000,0.00,0,낙산,NSBE
22313,126.19425000,35.65247200,10000000,0.00,0,상왕등도,SANGWANG
22314,125.80277800,34.54305600,10000000,0.00,0,우이도,UIDO
22315,126.96027700,34.25872200,10000000,0.00,0,생일도,SAENGIL
22316,129.29250000,35.30250000,10000000,0.00,0,임랑,IMRANG
22317,128.63138900,38.19861100,10000000,0.00,0,속초,SOKCHO
22318,129.10305600,37.61611100,10000000,0.00,0,망상,MANGSANG
22319,129.45416700,36.58000000,10000000,0.00,0,고래불,GORAEBUL
22320,126.50875000,35.98416600,10000000,0.00,0,군산항,GUNSAN
22321,126.54083300,37.13666700,10000000,0.00,0,평택당진항,IPPADO
22322,127.79277700,34.85972200,10000000,0.00,0,광양항,GWANGYANG
22323,126.53305500,37.38944400,10000000,0.00,0,인천항,INCHEON
22324,126.59208300,37.52338800,10000000,0.00,0,경인항,GYEONGIN
22325,126.76319400,34.32508300,10000000,0.00,0,완도항,WANDO
22326,126.27022200,37.00672200,10000000,0.00,0,태안항,TAEAN
22327,127.80805500,34.79472200,10000000,0.00,0,여수항,YEOSU
22328,128.63183300,35.10319400,10000000,0.00,0,마산항,MASAN
22329,128.76175000,35.04377700,10000000,0.00,0,부산항신항,BUSANNEW
22330,128.46000000,34.77333300,10000000,0.00,0,통영항,TONGYEONG
22331,129.08525000,35.09175000,10000000,0.00,0,부산항,BUSAN
22332,129.00308300,35.05280500,10000000,0.00,0,감천항,GAMCHEON
22401,123.00196000,35.14294000,20000000,0.00,0,황해부이,YellowSea
22402,124.51020000,35.42708000,20000000,0.00,0,황해중부,YSB01A
22403,124.09400000,32.88533000,20000000,0.00,0,동중국해,YSB02A
22404,126.27690000,32.05239000,20000000,0.00,0,제주남부,YSB03A
22411,131.00060000,37.02500000,30000000,0.00,0,동해연안,----
22446,126.24000000,36.45139000,13000000,0.00,177,내파수도,Naepasudo
22485,128.53800000,34.62138889,13000000,0.00,159,소매물도,Somaemuldo
22493,125.86806000,34.91917000,13000000,0.00,156,자은,Jaeun
22510,126.35861100,35.64297000,13000000,0.00,146,위도동부,Widodongbu
22512,128.77500000,34.82777778,13000000,0.00,159,지심도,Jisimdo
22513,128.75833333,34.97166667,13000000,0.00,159,이수도,Isudo
22514,126.37485000,33.52096100,13000000,0.00,184,구엄,Gueom
22522,125.64833333,37.61944444,13000000,0.00,109,연평도,Yeonpyeongdo
22523,129.45944000,37.10278000,13000000,0.00,143,죽변,Jukbyeon
